segment,bucket,n,mean_forecast,obs_freq,obs_freq_ci_lo,obs_freq_ci_hi,ece,rel,res,monotonicity,rank_score
forecast_bucket,<0.05,301,0.0303,0.1595,0.1224,0.2051,0.1292,0.0167,0.0,0.0,0.0
forecast_bucket,0.05-0.15,45,0.0801,0.1556,0.0775,0.2878,0.0848,0.0084,0.0009,0.0,0.0009
forecast_bucket,0.15-0.30,47,0.2134,0.2128,0.1199,0.349,0.1631,0.0276,0.0164,0.0,0.016
forecast_bucket,0.50-0.70,19,0.6013,0.2632,0.1181,0.4879,0.3381,0.1766,0.0408,0.0,0.0347
forecast_bucket,0.70-0.85,8,0.7841,0.375,0.1368,0.6943,0.4091,0.1718,0.001,0.0,0.0009
forecast_bucket,0.30-0.50,36,0.3838,0.3056,0.18,0.4686,0.0783,0.0078,0.0006,0.0,0.0005
forecast_bucket,>=0.95,6,0.9697,0.6667,0.3,0.9032,0.303,0.0918,0.0,0.0,0.0
forecast_bucket,0.85-0.95,2,,,,,,,,,
city_top15,New York,15,0.1192,0.2667,0.109,0.5195,0.3131,0.1285,0.0501,-0.7826,0.0444
city_top15,Miami,21,0.0563,0.2381,0.1063,0.4509,0.2424,0.0595,0.0094,-0.866,0.0089
city_top15,Los Angeles,20,0.0758,0.15,0.0524,0.3604,0.1076,0.0143,0.0067,-0.5,0.0066
city_top15,other,234,0.1605,0.1709,0.1281,0.2244,0.0903,0.0154,0.0154,0.7915,0.0152
city_top15,Madrid,21,0.075,0.2381,0.1063,0.4509,0.2554,0.0699,0.0094,-0.7746,0.0088
city_top15,Tel Aviv,19,0.0989,0.2632,0.1181,0.4879,0.3078,0.1008,0.013,-0.7746,0.0118
city_top15,Warsaw,11,0.1102,0.1818,0.0514,0.477,0.2204,0.0933,0.0708,-0.7379,0.0648
city_top15,Helsinki,14,0.1277,0.2143,0.0757,0.4759,0.1688,0.0351,0.0515,0.3162,0.0497
city_top15,Atlanta,15,0.1071,0.2,0.0705,0.4519,0.2101,0.0592,0.0089,-0.7379,0.0084
city_top15,Jakarta,13,0.1002,0.1538,0.0433,0.4224,0.1981,0.0606,0.0043,-0.866,0.0041
city_top15,Chicago,12,0.1717,0.25,0.0889,0.5323,0.3712,0.1899,0.0125,-0.866,0.0105
city_top15,Seattle,13,0.1469,0.2308,0.0818,0.5026,0.0839,0.0185,0.1076,0.866,0.1056
city_top15,San Francisco,17,0.0945,0.1765,0.0619,0.4103,0.1105,0.0414,0.0907,0.7379,0.0871
city_top15,Buenos Aires,13,0.1375,0.2308,0.0818,0.5026,0.2284,0.0729,0.0544,-0.2108,0.0507
city_top15,Moscow,12,0.1465,0.25,0.0889,0.5323,0.2854,0.0962,0.0129,-0.7379,0.0118
city_top15,Denver,14,0.1039,0.1429,0.0401,0.3994,0.1861,0.0551,0.0056,-0.7746,0.0053
horizon,na,83,0.0365,0.3735,0.2772,0.481,0.3421,0.1172,0.0021,-0.5,0.0019
horizon,0-24h,381,0.1547,0.1522,0.1196,0.1918,0.0965,0.02,0.0139,0.6383,0.0136
